17:27:14 DEBUG   Count: 142 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:14 DEBUG   Count: 143 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:14 DEBUG   Count: 144 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:14 DEBUG   Count: 145 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:14 DEBUG   Count: 146 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:14 DEBUG   Count: 147 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:14 DEBUG   Count: 148 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:14 DEBUG   Count: 149 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:14 DEBUG   Count: 150 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:14 DEBUG   Count: 151 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:15 DEBUG   Count: 152 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:15 DEBUG   Count: 153 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:15 DEBUG   Count: 154 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:15 DEBUG   Count: 155 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:15 DEBUG   Count: 156 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:15 DEBUG   Count: 157 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:15 DEBUG   Count: 158 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:15 DEBUG   Count: 159 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:15 DEBUG   Count: 160 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
